step,scheduled_sigma,churned_sigma,gamma
0,2544.000000,5088.000000,1.0
1,2544.000000,5088.000000,1.0
2,2544.000000,5088.000000,1.0
3,2416.000000,4832.000000,1.0
4,2416.000000,4832.000000,1.0
5,2416.000000,4832.000000,1.0
6,2288.000000,4576.000000,1.0
7,2288.000000,4576.000000,1.0
8,2288.000000,4576.000000,1.0
9,2288.000000,4576.000000,1.0
10,2160.000000,4320.000000,1.0
11,2160.000000,4320.000000,1.0
12,2160.000000,4320.000000,1.0
13,2160.000000,4320.000000,1.0
14,2048.000000,4096.000000,1.0
15,2048.000000,4096.000000,1.0
16,1992.000000,3984.000000,1.0
17,1992.000000,3984.000000,1.0
18,1936.000000,3872.000000,1.0
19,1936.000000,3872.000000,1.0
20,1888.000000,3776.000000,1.0
21,1888.000000,3776.000000,1.0
22,1832.000000,3664.000000,1.0
23,1784.000000,3568.000000,1.0
24,1784.000000,3568.000000,1.0
25,1736.000000,3472.000000,1.0
26,1736.000000,3472.000000,1.0
27,1688.000000,3376.000000,1.0
28,1688.000000,3376.000000,1.0
29,1640.000000,3280.000000,1.0
30,1640.000000,3280.000000,1.0
31,1592.000000,3184.000000,1.0
32,1592.000000,3184.000000,1.0
33,1552.000000,3104.000000,1.0
34,1504.000000,3008.000000,1.0
35,1504.000000,3008.000000,1.0
36,1464.000000,2928.000000,1.0
37,1464.000000,2928.000000,1.0
38,1424.000000,2848.000000,1.0
39,1424.000000,2848.000000,1.0
40,1384.000000,2768.000000,1.0
41,1384.000000,2768.000000,1.0
42,1344.000000,2688.000000,1.0
43,1304.000000,2608.000000,1.0
44,1304.000000,2608.000000,1.0
45,1264.000000,2528.000000,1.0
46,1264.000000,2528.000000,1.0
47,1232.000000,2464.000000,1.0
48,1232.000000,2464.000000,1.0
49,1192.000000,2384.000000,1.0
50,1192.000000,2384.000000,1.0
51,1160.000000,2320.000000,1.0
52,1128.000000,2256.000000,1.0
53,1128.000000,2256.000000,1.0
54,1088.000000,2176.000000,1.0
55,1088.000000,2176.000000,1.0
56,1056.000000,2112.000000,1.0
57,1056.000000,2112.000000,1.0
58,1032.000000,2064.000000,1.0
59,1032.000000,2064.000000,1.0
60,996.000000,1992.000000,1.0
61,968.000000,1936.000000,1.0
62,968.000000,1936.000000,1.0
63,940.000000,1880.000000,1.0
64,940.000000,1880.000000,1.0
65,912.000000,1824.000000,1.0
66,912.000000,1824.000000,1.0
67,884.000000,1768.000000,1.0
68,884.000000,1768.000000,1.0
69,856.000000,1712.000000,1.0
70,828.000000,1656.000000,1.0
71,828.000000,1656.000000,1.0
72,804.000000,1608.000000,1.0
73,804.000000,1608.000000,1.0
74,780.000000,1560.000000,1.0
75,780.000000,1560.000000,1.0
76,756.000000,1512.000000,1.0
77,756.000000,1512.000000,1.0
78,732.000000,1464.000000,1.0
79,708.000000,1416.000000,1.0
80,708.000000,1416.000000,1.0
81,688.000000,1376.000000,1.0
82,688.000000,1376.000000,1.0
83,664.000000,1328.000000,1.0
84,664.000000,1328.000000,1.0
85,644.000000,1288.000000,1.0
86,644.000000,1288.000000,1.0
87,624.000000,1248.000000,1.0
88,624.000000,1248.000000,1.0
89,604.000000,1208.000000,1.0
90,584.000000,1168.000000,1.0
91,584.000000,1168.000000,1.0
92,564.000000,1128.000000,1.0
93,564.000000,1128.000000,1.0
94,548.000000,1096.000000,1.0
95,548.000000,1096.000000,1.0
96,528.000000,1056.000000,1.0
97,528.000000,1056.000000,1.0
98,512.000000,1024.000000,1.0
99,496.000000,992.000000,1.0
100,496.000000,992.000000,1.0
101,478.000000,956.000000,1.0
102,462.000000,924.000000,1.0
103,462.000000,924.000000,1.0
104,462.000000,924.000000,1.0
105,448.000000,896.000000,1.0
106,432.000000,864.000000,1.0
107,432.000000,864.000000,1.0
108,418.000000,836.000000,1.0
109,418.000000,836.000000,1.0
110,404.000000,808.000000,1.0
111,404.000000,808.000000,1.0
112,390.000000,780.000000,1.0
113,376.000000,752.000000,1.0
114,376.000000,752.000000,1.0
115,376.000000,752.000000,1.0
116,364.000000,728.000000,1.0
117,352.000000,704.000000,1.0
118,352.000000,704.000000,1.0
119,340.000000,680.000000,1.0
120,328.000000,656.000000,1.0
121,328.000000,656.000000,1.0
122,316.000000,632.000000,1.0
123,316.000000,632.000000,1.0
124,304.000000,608.000000,1.0
125,304.000000,608.000000,1.0
126,294.000000,588.000000,1.0
127,284.000000,568.000000,1.0
128,284.000000,568.000000,1.0
129,284.000000,568.000000,1.0
130,274.000000,548.000000,1.0
131,264.000000,528.000000,1.0
132,264.000000,528.000000,1.0
133,254.000000,508.000000,1.0
134,254.000000,508.000000,1.0
135,245.000000,490.000000,1.0
136,245.000000,490.000000,1.0
137,236.000000,472.000000,1.0
138,227.000000,454.000000,1.0
139,227.000000,454.000000,1.0
140,219.000000,438.000000,1.0
141,219.000000,438.000000,1.0
142,211.000000,422.000000,1.0
143,211.000000,422.000000,1.0
144,203.000000,406.000000,1.0
145,195.000000,390.000000,1.0
146,195.000000,390.000000,1.0
147,195.000000,390.000000,1.0
148,188.000000,376.000000,1.0
149,181.000000,362.000000,1.0
150,181.000000,362.000000,1.0
151,174.000000,348.000000,1.0
152,174.000000,348.000000,1.0
153,167.000000,334.000000,1.0
154,167.000000,334.000000,1.0
155,161.000000,322.000000,1.0
156,155.000000,310.000000,1.0
157,155.000000,310.000000,1.0
158,149.000000,298.000000,1.0
159,149.000000,298.000000,1.0
160,143.000000,286.000000,1.0
161,143.000000,286.000000,1.0
162,137.000000,274.000000,1.0
163,132.000000,264.000000,1.0
164,132.000000,264.000000,1.0
165,132.000000,264.000000,1.0
166,126.500000,253.000000,1.0
167,121.500000,243.000000,1.0
168,121.500000,243.000000,1.0
169,116.500000,233.000000,1.0
170,116.500000,233.000000,1.0
171,112.000000,224.000000,1.0
172,112.000000,224.000000,1.0
173,107.500000,215.000000,1.0
174,103.000000,206.000000,1.0
175,103.000000,206.000000,1.0
176,103.000000,206.000000,1.0
177,98.500000,197.000000,1.0
178,94.500000,189.000000,1.0
179,94.500000,189.000000,1.0
180,90.500000,181.000000,1.0
181,87.000000,174.000000,1.0
182,87.000000,174.000000,1.0
183,87.000000,174.000000,1.0
184,83.000000,166.000000,1.0
185,79.500000,159.000000,1.0
186,79.500000,159.000000,1.0
187,76.500000,153.000000,1.0
188,76.500000,153.000000,1.0
189,73.000000,146.000000,1.0
190,73.000000,146.000000,1.0
191,70.000000,140.000000,1.0
192,67.000000,134.000000,1.0
